ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13121127,JG313964,2023-06-22 18:52:00,015XX W NORTH AVE,1153,Deceptive Practice,Financial Identity Theft Over $ 300,Auto / Boat / Rv Dealership,1,0,1433,14,1,24,11,1165854.0,1910738.0,2023,2023-09-14 15:41:00,41.91065261,-87.66614577,"(41.91065261, -87.66614577)"
12955336,JG119661,2022-11-16 10:23:00,087XX S KINGSTON AVE,1562,Sex Offense,Aggravated Criminal Sexual Abuse,Residence,0,1,423,4,7,46,17,1194660.0,1847481.0,2022,2023-11-15 15:41:00,41.73640903,-87.56241031,"(41.736409029, -87.562410309)"
13210072,JG422242,2023-08-11 11:00:00,0000X S ALBANY AVE,1790,Offense Involving Children,Child Abduction,Residence,0,1,1124,11,28,27,26,1155914.0,1899709.0,2023,2023-09-16 15:41:00,41.88059439,-87.70295942,"(41.880594385, -87.702959421)"
13124701,JG321999,2023-06-30 04:00:00,007XX E 111TH ST,583,Stalking,Cyberstalking,Police Facility / Vehicle Parking Lot,1,0,531,5,9,50,08A,1183356.0,1831503.0,2023,2023-09-14 15:41:00,41.69283384,-87.60431945,"(41.692833841, -87.60431945)"
13129199,JG327622,2023-07-04 17:30:00,047XX S CALUMET AVE,910,Motor Vehicle Theft,Automobile,Street,1,0,224,2,3,38,7,1179230.0,1873766.0,2023,2023-09-14 15:41:00,41.80890316,-87.61813919,"(41.80890316, -87.618139193)"
13158716,JG362691,2018-11-09 00:00:00,017XX N NASHVILLE AVE,265,Criminal Sexual Assault,Aggravated - Other,Residence,0,0,2513,25,29,25,2,1132147.0,1910836.0,2018,2023-09-14 15:41:00,41.91157425,-87.78997228,"(41.911574252, -87.789972279)"
13176001,JG382803,2023-02-01 14:00:00,058XX S MICHIGAN AVE,1562,Sex Offense,Aggravated Criminal Sexual Abuse,Apartment,1,1,232,2,20,40,17,1178158.0,1866236.0,2023,2023-09-14 15:41:00,41.78826455,-87.62229949,"(41.788264552, -87.62229949)"
13179181,JG386523,2023-08-17 15:15:00,020XX N MILWAUKEE AVE,860,Theft,Retail Theft,Department Store,1,0,1431,14,1,22,6,1159682.0,1913243.0,2023,2023-09-14 15:41:00,41.91765602,-87.68875026,"(41.917656022, -87.688750258)"
13179344,JG386917,2023-08-17 19:25:00,030XX N ELBRIDGE AVE,860,Theft,Retail Theft,Street,1,0,1412,14,35,21,6,1152158.0,1919830.0,2023,2023-09-14 15:41:00,41.93588316,-87.71621965,"(41.935883156, -87.716219645)"
13181797,JG389859,2023-08-20 04:30:00,020XX N LEAMINGTON AVE,1310,Criminal Damage,To Property,Residence,1,1,2522,25,36,19,14,1141753.0,1913164.0,2023,2023-09-14 15:41:00,41.91779013,-87.75462463,"(41.917790125, -87.754624625)"
13181885,JG389920,2023-08-20 06:00:00,020XX N LECLAIRE AVE,820,Theft,$500 And Under,Street,1,1,2522,25,26,19,6,1142089.0,1913063.0,2023,2023-09-14 15:41:00,41.91750674,-87.75339264,"(41.917506742, -87.753392641)"
13183042,JG391309,2023-08-21 07:28:00,016XX N WASHTENAW AVE,1350,Criminal Trespass,To State Sup Land,Cha Parking Lot / Grounds,1,0,1421,14,26,24,26,1158119.0,1910792.0,2023,2023-09-14 15:41:00,41.91096238,-87.69455985,"(41.910962378, -87.694559852)"
13183567,JG392073,2023-08-21 14:37:00,022XX N LEAMINGTON AVE,1220,Deceptive Practice,Theft Of Lost / Mislaid Property,Street,1,0,2522,25,26,19,11,1141688.0,1914409.0,2023,2023-09-14 15:41:00,41.92120774,-87.75483259,"(41.921207741, -87.754832585)"
13184491,JG393031,2023-08-22 11:44:00,026XX N ELSTON AVE,860,Theft,Retail Theft,Department Store,1,0,1432,14,32,22,6,1160867.0,1917657.0,2023,2023-09-14 15:41:00,41.92974382,-87.68427378,"(41.929743818, -87.684273777)"
13187048,JG395977,2023-08-24 16:07:00,016XX W DIVISION ST,860,Theft,Retail Theft,Department Store,1,0,1424,14,1,24,6,1164808.0,1908052.0,2023,2023-09-14 15:41:00,41.9033043,-87.67006468,"(41.903304304, -87.670064675)"
13188630,JG398002,2023-08-26 02:15:00,047XX W FULLERTON AVE,1330,Criminal Trespass,To Land,Restaurant,1,0,2522,25,31,19,26,1144183.0,1915534.0,2023,2023-09-14 15:41:00,41.9242483,-87.74563692,"(41.924248302, -87.745636923)"
13189104,JG398575,2023-08-26 13:43:00,050XX N PULASKI RD,860,Theft,Retail Theft,Grocery Food Store,1,0,1712,17,39,14,6,1148820.0,1933099.0,2023,2023-09-14 15:41:00,41.97235959,-87.72814279,"(41.972359593, -87.728142793)"
13189895,JG399264,2023-08-27 01:16:00,048XX N KIMBALL AVE,454,Battery,"Aggravated P.O. - Hands, Fists, Feet, No / Minor Injury",Street,1,0,1712,17,33,14,08B,1152841.0,1931987.0,2023,2023-09-14 15:41:00,41.9692293,-87.71338636,"(41.969229299, -87.713386363)"
13190165,JG399731,2023-08-27 11:58:00,025XX N ELSTON AVE,860,Theft,Retail Theft,Appliance Store,1,0,1432,14,32,22,6,1161467.0,1917112.0,2023,2023-09-14 15:41:00,41.92823582,-87.68208415,"(41.928235818, -87.682084152)"
13190179,JG399829,2023-08-27 13:16:00,032XX W NORTH AVE,860,Theft,Retail Theft,Small Retail Store,1,0,1422,14,26,23,6,1154551.0,1910454.0,2023,2023-09-14 15:41:00,41.91010705,-87.70767654,"(41.910107045, -87.707676543)"
13190936,JG400683,2023-08-27 22:00:00,072XX S AVERS AVE,910,Motor Vehicle Theft,Automobile,Street,1,0,833,8,23,65,7,1151953.0,1856354.0,2023,2023-09-14 15:41:00,41.76170131,-87.71864284,"(41.761701305, -87.718642841)"
13190943,JG400635,2023-08-28 06:23:00,027XX N NARRAGANSETT AVE,1320,Criminal Damage,To Vehicle,Parking Lot / Garage (Non Residential),1,0,2512,25,36,19,14,1133273.0,1917606.0,2023,2023-09-14 15:41:00,41.9301323,-87.7856768,"(41.9301323, -87.785676799)"
13192516,JG402535,2023-08-29 13:59:00,014XX N LOCKWOOD AVE,1310,Criminal Damage,To Property,Residence,1,1,2532,25,37,25,14,1140764.0,1909050.0,2023,2023-09-14 15:41:00,41.9065191,-87.75835963,"(41.906519104, -87.758359629)"
13193728,JG404030,2023-08-30 15:28:00,026XX N ELSTON AVE,860,Theft,Retail Theft,Department Store,1,0,1432,14,32,22,6,1160867.0,1917657.0,2023,2023-09-14 15:41:00,41.92974382,-87.68427378,"(41.929743818, -87.684273777)"
13194223,JG404599,2023-08-30 10:34:00,026XX N HARDING AVE,1310,Criminal Damage,To Property,Apartment,1,1,2524,25,35,22,14,1149604.0,1917256.0,2023,2023-09-14 15:41:00,41.92886994,-87.72567292,"(41.928869943, -87.725672915)"
13195102,JG405850,2023-08-31 17:12:00,025XX N NARRAGANSETT AVE,860,Theft,Retail Theft,Small Retail Store,1,0,2512,25,36,19,6,1133317.0,1916205.0,2023,2023-09-14 15:41:00,41.92628702,-87.785548,"(41.926287021, -87.785547998)"
13196606,JG407589,2023-09-02 00:35:00,021XX W DIVISION ST,454,Battery,"Aggravated P.O. - Hands, Fists, Feet, No / Minor Injury",Street,1,0,1424,14,1,24,08B,1161836.0,1907964.0,2023,2023-09-14 15:41:00,41.90312536,-87.6809839,"(41.903125362, -87.680983903)"
13196922,JG407863,2023-09-02 01:00:00,080XX S UNION AVE,486,Battery,Domestic Battery Simple,Residence,1,1,621,6,6,71,08B,1173030.0,1851606.0,2023,2023-09-14 15:41:00,41.74823293,-87.64153328,"(41.748232929, -87.641533277)"
13197242,JG408409,2023-09-02 16:28:00,016XX N NEWCASTLE AVE,920,Motor Vehicle Theft,Attempt - Automobile,Residence,1,0,2513,25,29,25,7,1130508.0,1910138.0,2023,2023-09-14 15:41:00,41.90968718,-87.79600963,"(41.909687183, -87.796009633)"
13197663,JG408814,2023-09-02 23:00:00,100XX S AVENUE M,497,Battery,Aggravated Domestic Battery - Other Dangerous Weapon,Apartment,1,1,432,4,10,52,04B,1201485.0,1838962.0,2023,2023-09-14 15:41:00,41.71286177,-87.53769489,"(41.71286177, -87.537694886)"
13197901,JG409181,2023-09-01 19:50:00,049XX W CONCORD PL,5002,Other Offense,Other Vehicle Offense,Street,0,0,2533,25,37,25,26,1143047.0,1910513.0,2023,2023-09-14 15:41:00,41.91049144,-87.74993661,"(41.910491438, -87.749936608)"
13197965,JG409253,2023-09-03 03:00:00,071XX S SPAULDING AVE,910,Motor Vehicle Theft,Automobile,Street,1,0,831,8,17,66,7,1155606.0,1857008.0,2023,2023-09-14 15:41:00,41.76342357,-87.70523658,"(41.763423571, -87.705236576)"
