ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13189104,JG398575,8/26/2023 13:43,050XX N PULASKI RD,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,1712,17,39,14,6,1148820,1933099,2023,9/14/2023 15:41,41.97235959,-87.72814279,"(41.972359593, -87.728142793)"
13189895,JG399264,8/27/2023 1:16,048XX N KIMBALL AVE,454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,TRUE,FALSE,1712,17,33,14,08B,1152841,1931987,2023,9/14/2023 15:41,41.9692293,-87.71338636,"(41.969229299, -87.713386363)"
13190165,JG399731,8/27/2023 11:58,025XX N ELSTON AVE,860,THEFT,RETAIL THEFT,APPLIANCE STORE,TRUE,FALSE,1432,14,32,22,6,1161467,1917112,2023,9/14/2023 15:41,41.92823582,-87.68208415,"(41.928235818, -87.682084152)"
13190179,JG399829,8/27/2023 13:16,032XX W NORTH AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,1422,14,26,23,6,1154551,1910454,2023,9/14/2023 15:41,41.91010705,-87.70767654,"(41.910107045, -87.707676543)"
13190936,JG400683,8/27/2023 22:00,072XX S AVERS AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,TRUE,FALSE,833,8,23,65,7,1151953,1856354,2023,9/14/2023 15:41,41.76170131,-87.71864284,"(41.761701305, -87.718642841)"
13190943,JG400635,8/28/2023 6:23,027XX N NARRAGANSETT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),TRUE,FALSE,2512,25,36,19,14,1133273,1917606,2023,9/14/2023 15:41,41.9301323,-87.7856768,"(41.9301323, -87.785676799)"
13192516,JG402535,8/29/2023 13:59,014XX N LOCKWOOD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,TRUE,TRUE,2532,25,37,25,14,1140764,1909050,2023,9/14/2023 15:41,41.9065191,-87.75835963,"(41.906519104, -87.758359629)"
13193728,JG404030,8/30/2023 15:28,026XX N ELSTON AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,1432,14,32,22,6,1160867,1917657,2023,9/14/2023 15:41,41.92974382,-87.68427378,"(41.929743818, -87.684273777)"
13194223,JG404599,8/30/2023 10:34,026XX N HARDING AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,TRUE,TRUE,2524,25,35,22,14,1149604,1917256,2023,9/14/2023 15:41,41.92886994,-87.72567292,"(41.928869943, -87.725672915)"
13195102,JG405850,8/31/2023 17:12,025XX N NARRAGANSETT AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,2512,25,36,19,6,1133317,1916205,2023,9/14/2023 15:41,41.92628702,-87.785548,"(41.926287021, -87.785547998)"
13196606,JG407589,9/2/2023 0:35,021XX W DIVISION ST,454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",STREET,TRUE,FALSE,1424,14,1,24,08B,1161836,1907964,2023,9/14/2023 15:41,41.90312536,-87.6809839,"(41.903125362, -87.680983903)"
13196922,JG407863,9/2/2023 1:00,080XX S UNION AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,621,6,6,71,08B,1173030,1851606,2023,9/14/2023 15:41,41.74823293,-87.64153328,"(41.748232929, -87.641533277)"
13197242,JG408409,9/2/2023 16:28,016XX N NEWCASTLE AVE,920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,RESIDENCE,TRUE,FALSE,2513,25,29,25,7,1130508,1910138,2023,9/14/2023 15:41,41.90968718,-87.79600963,"(41.909687183, -87.796009633)"
13197663,JG408814,9/2/2023 23:00,100XX S AVENUE M,497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,APARTMENT,TRUE,TRUE,432,4,10,52,04B,1201485,1838962,2023,9/14/2023 15:41,41.71286177,-87.53769489,"(41.71286177, -87.537694886)"
13197901,JG409181,9/1/2023 19:50,049XX W CONCORD PL,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,FALSE,FALSE,2533,25,37,25,26,1143047,1910513,2023,9/14/2023 15:41,41.91049144,-87.74993661,"(41.910491438, -87.749936608)"
13197965,JG409253,9/3/2023 3:00,071XX S SPAULDING AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,TRUE,FALSE,831,8,17,66,7,1155606,1857008,2023,9/14/2023 15:41,41.76342357,-87.70523658,"(41.763423571, -87.705236576)"
13198575,JG409922,9/3/2023 21:50,054XX N MILWAUKEE AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,TRUE,FALSE,1622,16,45,11,26,1136601,1936320,2023,9/14/2023 15:41,41.98142637,-87.77299737,"(41.98142637, -87.772997369)"
13199574,JG411101,9/4/2023 19:15,053XX S HOMAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,822,8,14,63,08B,1154617,1869058,2023,9/14/2023 15:41,41.79651034,-87.7085406,"(41.796510344, -87.708540596)"
13199642,JG411210,9/4/2023 21:47,035XX N CICERO AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,TRUE,FALSE,1634,16,31,15,26,1143746,1923306,2023,9/14/2023 15:41,41.94558362,-87.74704737,"(41.945583621, -87.747047365)"
13199696,JG411222,9/4/2023 22:10,044XX N AUSTIN AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,TRUE,FALSE,1622,16,38,15,26,1135547,1928943,2023,9/14/2023 15:41,41.96120206,-87.77704989,"(41.961202055, -87.777049892)"
13200550,JG412373,5/24/2023 12:00,059XX N MELVINA AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE - GARAGE,FALSE,TRUE,1622,16,45,10,7,1133926,1939049,2023,9/14/2023 15:41,41.98896259,-87.78277087,"(41.988962585, -87.782770866)"
13200685,JG412660,9/5/2023 19:18,019XX N CENTRAL AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,TRUE,FALSE,2515,25,29,25,26,1138744,1912269,2023,9/14/2023 15:41,41.91538933,-87.76570174,"(41.915389329, -87.765701742)"
13200930,JG412695,9/5/2023 19:22,021XX N AUSTIN AVE,520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,TRUE,TRUE,2515,25,36,19,04A,1136050,1913726,2023,9/14/2023 15:41,41.91943601,-87.77556459,"(41.91943601, -87.775564587)"
13201040,JG412889,9/5/2023 23:30,012XX N LAVERGNE AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,TRUE,FALSE,2533,25,37,25,26,1142810,1907622,2023,9/14/2023 15:41,41.90256263,-87.75087938,"(41.902562633, -87.750879383)"
13201167,JG412911,9/5/2023 22:54,019XX W NORTH AVE,502R,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,TRUE,FALSE,1424,14,1,24,26,1163086,1910663,2023,9/14/2023 15:41,41.91050544,-87.67631647,"(41.910505437, -87.676316472)"
13340870,JH118913,12/7/2023 1:00,050XX N BROADWAY,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,2033,20,47,3,5,1167398,1933847,2023,1/19/2024 15:40,41.97403168,-87.65980667,"(41.974031676, -87.659806667)"
13340773,JH118602,12/11/2023 14:15,011XX N MONITOR AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,1511,15,29,25,11,1137147,1907077,2023,1/19/2024 15:40,41.90117071,-87.77169396,"(41.901170711, -87.771693958)"
13200739,JG412187,9/5/2023 14:51,033XX W DOUGLAS BLVD,041A,BATTERY,AGGRAVATED - HANDGUN,APARTMENT,TRUE,TRUE,1021,10,24,29,04B,1154115,1893253,2023,1/3/2025 15:40,41.8629145,-87.70973744,"(41.862914501, -87.709737438)"
13340598,JH118606,7/1/2023 9:00,033XX N NARRAGANSETT AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,1632,16,36,17,11,1133109,1921695,2023,1/19/2024 15:40,41.94135585,-87.78618357,"(41.941355854, -87.786183569)"
26262,JE366265,9/8/2021 16:45,047XX W HARRISON ST,110,HOMICIDE,FIRST DEGREE MURDER,CAR WASH,TRUE,FALSE,1131,11,24,25,01A,1144907,1896933,2021,9/14/2023 15:41,41.87319145,-87.74344656,"(41.873191445, -87.743446563)"
7823660,HS634379,11/19/2010 9:00,076XX S ABERDEEN ST,320,ROBBERY,STRONG ARM - NO WEAPON,RESIDENCE,TRUE,FALSE,612,6,17,71,3,1170306,1854179,2010,9/14/2023 15:41,41.75535325,-87.65144019,"(41.755353249, -87.651440192)"
13691782,JH542240,12/14/2024 7:30,133XX S EDBROOKE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,533,5,9,54,14,1179751,1816789,2024,12/22/2024 15:41,41.65253937,-87.61796514,"(41.652539374, -87.617965144)"
13208615,JG421831,3/20/2023 21:00,046XX N KEDZIE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,1713,17,33,14,7,1154207,1930786,2023,9/14/2023 15:41,41.96590645,-87.70839577,"(41.965906449, -87.708395773)"
13208678,JG412891,9/1/2023 1:30,047XX S KEATING AVE,1513,PROSTITUTION,SOLICITING FOR BUSINESS,STREET,FALSE,FALSE,815,8,22,56,16,1145488,1872869,2023,9/14/2023 15:41,41.80714552,-87.74192176,"(41.807145524, -87.741921764)"
13208576,JG420847,7/7/2023 4:00,091XX S MARQUETTE AVE,820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,FALSE,FALSE,423,4,7,48,6,1195849,1844794,2023,9/14/2023 15:41,41.72900636,-87.55814297,"(41.729006364, -87.558142967)"
13208665,JG406843,9/1/2023 13:09,132XX S ST LAWRENCE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,533,5,10,54,08B,1182588,1817649,2023,9/14/2023 15:41,41.65483427,-87.60755843,"(41.654834273, -87.607558429)"
13208599,JG405706,8/30/2023 11:30,084XX S BURNHAM AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,FALSE,FALSE,423,4,7,46,08B,1196291,1849582,2023,9/14/2023 15:41,41.7421341,-87.55636551,"(41.742134096, -87.556365508)"
13208668,JG406226,9/1/2023 2:10,047XX W 47TH ST,1513,PROSTITUTION,SOLICITING FOR BUSINESS,STREET,FALSE,FALSE,815,8,22,56,16,1145695,1873053,2023,9/14/2023 15:41,41.80764654,-87.74115789,"(41.807646537, -87.741157889)"
13208672,JG421467,7/30/2023 9:00,078XX S SOUTH SHORE DR,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,FALSE,FALSE,421,4,7,46,11,1198248,1853536,2023,9/14/2023 15:41,41.75293545,-87.5490632,"(41.752935445, -87.5490632)"
